,numeroMuseo,numeroCampo,familia,genero,especie,localidad,latitud,longitud,fechaInicioColeccion,colector,altitudMax,altitudMin,year,5years,decade,institutionCode,scientificName,catalogNumber,Locacion,Elevation,geometry,elevation,elev_category
4,QCA144039,61701,Moraceae,Ficus,cuatrecasana,"Above pallatanga, towards San Juan and Llimbe.",-1.91667,-79.05,1987-02-25T00:00:00,P.M. Jørgensen,2300.0,2750.0,1987.0,1985.0,1980.0,QCA,Ficus cuatrecasana,,,,POINT (-79.05 -1.91667),[2826.],2500-3000
5,QCA144042,1111,Moraceae,Ficus,cuatrecasana,"Reserva Florística Ecológica Río Guajalito, km 59 de la carretera antigua Quito, Santo Domingo, a 3,5 km al NE de la carretera estribaciones occidentales del Volcán Pichincha.",-0.231389,-78.8028,1986-08-13T00:00:00,V. Zak,1800.0,2200.0,1986.0,1985.0,1980.0,QCA,Ficus cuatrecasana,,,,POINT (-78.8028 -0.231389),[2297.],2001-2500
6,QCA144045,13518,Moraceae,Ficus,cuatrecasana,"Manta Real: Río Patul. Sur de la carretera La Troncal, Zhud, camino entre Zhuycay y Río Patul al base de los Andes. Trocha subiendo al piedemonte hasta 1200 m, atrás, E del pueblo de Manta Real.",-2.559064,-79.328678,1991-07-13T00:00:00,R.B. Foster,450.0,800.0,1991.0,1990.0,1990.0,QCA,Ficus cuatrecasana,,,,POINT (-79.328678 -2.559064),[1187.],1001-1500
7,QCA144048,11,Moraceae,Ficus,cuatrecasana,Reserva Bosque Integral Otonga.,-0.416667,-78.9667,1999-04-17T00:00:00,A. Muñoz,1650.0,,1999.0,1995.0,1990.0,QCA,Ficus cuatrecasana,,,,POINT (-78.9667 -0.416667),[1541.],1501-2000
8,QCA144049,23788,Moraceae,Ficus,cuatrecasana,"Reserva Otongachi, La Unión del Toachi, km 3, vía Toachi, San Francisco de las Pampas.",-0.316667,-78.8333,2002-08-26T00:00:00,J. Jaramillo,950.0,1100.0,2002.0,2000.0,2000.0,QCA,Ficus cuatrecasana,,,,POINT (-78.8333 -0.316667),[1550.],1501-2000
9,QCA144050,7770,Moraceae,Ficus,cuatrecasana,"Reserva Florística Ecológica Río Gualito, km 59 de la carretera antigua Quito, Santo Domingo, a 3.5 km al NE de la carretera, estribaciones occidentales del volcán Pichincha.",-0.231389,-78.8028,1985-06-22T00:00:00,J. Jaramillo,1800.0,2200.0,1985.0,1985.0,1980.0,QCA,Ficus cuatrecasana,,,,POINT (-78.8028 -0.231389),[2297.],2001-2500
10,QCA144052,1262,Moraceae,Ficus,cuatrecasana,Near Lita.,0.833333,-78.45,1981-12-09T00:00:00,C.C. Berg,600.0,,1981.0,1980.0,1980.0,QCA,Ficus cuatrecasana,,,,POINT (-78.45 0.833333),[709.],501-1000
11,QCA144053,7416,Moraceae,Ficus,cuatrecasana,"Reserva Forestal ENDESA, Río Silanche, Corporación Forestal Juan Manuel Durini, km 113 de la carretera Quito, Pto. Quito, faldas occidentales, a 10 km al N de la carretera principal.",0.0833333,-79.0333,1984-12-07T00:00:00,J. Jaramillo,600.0,700.0,1984.0,1980.0,1980.0,QCA,Ficus cuatrecasana,,,,POINT (-79.0333 0.0833333),[638.],501-1000
12,QCA144054,8268,Moraceae,Ficus,cuatrecasana,"Reserva Florística Ecológica Río Gualito, km 59 de la carretera antigua Quito, Santo Domingo, a 3.5 km al NE de la carretera, estribaciones occidentales del volcán Pichincha.",-0.231389,-78.8028,1985-12-27T00:00:00,J. Jaramillo,1800.0,2200.0,1985.0,1985.0,1980.0,QCA,Ficus cuatrecasana,,,,POINT (-78.8028 -0.231389),[2297.],2001-2500
13,QCA144055,1996,Moraceae,Ficus,cuatrecasana,"Route Cariamanga á Macara, 2 km au sud de Cariamanga.",-4.33333,-79.5833,1991-04-23T00:00:00,C. Huttel,1900.0,,1991.0,1990.0,1990.0,QCA,Ficus cuatrecasana,,,,POINT (-79.5833 -4.33333),[1596.],1501-2000
14,QCA144058,96246,Moraceae,Ficus,cuatrecasana,Los Cedros Biological Reserve.,0.316667,-78.7833,1996-07-04T00:00:00,M. Freiberg,1350.0,,1996.0,1995.0,1990.0,QCA,Ficus cuatrecasana,,,,POINT (-78.7833 0.316667),[1728.],1501-2000
15,QCA144059,2406,Moraceae,Ficus,cuatrecasana,"Baeza, 2 km antes de Baeza, carretera Papallacta, Baeza parte alta de la Y.",-0.466667,-77.9,1992-07-11T00:00:00,R. Valencia,2000.0,,1992.0,1990.0,1990.0,QCA,Ficus cuatrecasana,,,,POINT (-77.9 -0.466667),[1980.],1501-2000
16,QCA144065,660,Moraceae,Ficus,cuatrecasana,"Cantón El Chaco, Parroquia Santa Rosa de Quijos. A 4 km al NO de Santo Rosa.",-0.283333,-77.8333,1991-10-30T00:00:00,A.P. Yánez,2700.0,,1991.0,1990.0,1990.0,QCA,Ficus cuatrecasana,,,,POINT (-77.8333 -0.283333),[2148.],2001-2500
17,QCA144066,5776,Moraceae,Ficus,cuatrecasana,Cantón El Chaco. Codo Sinclair.,-0.133333,-77.45,1990-09-16T00:00:00,W. Palacios,650.0,,1990.0,1990.0,1990.0,QCA,Ficus cuatrecasana,,,,POINT (-77.45 -0.133333),[684.],501-1000
18,QCA144068,2668,Moraceae,Ficus,cuatrecasana,"Trocha de mulas, vía fincas sobre Masanamaca, entre Vilcabamba y Yangana.",-4.38333,-79.1667,1990-03-21T00:00:00,P. Mena,1900.0,,1990.0,1990.0,1990.0,QCA,Ficus cuatrecasana,,,,POINT (-79.1667 -4.38333),[2378.],2001-2500
19,QCA144071,12116,Moraceae,Ficus,cuatrecasana,"Carretera Baeza Cosanga, colecciones a 8 km de Baeza.",-0.483333,-77.9,1990-08-24T00:00:00,J. Jaramillo,1870.0,,1990.0,1990.0,1990.0,QCA,Ficus cuatrecasana,,,,POINT (-77.9 -0.483333),[2482.],2001-2500
20,QCA144073,5178,Moraceae,Ficus,cuatrecasana,"Río Palenque Biological Station. Km 56 Quevedo, Santo Domingo.",-0.5,-79.3333,1972-09-19T00:00:00,C.H. Dodson,150.0,220.0,1972.0,1970.0,1970.0,QCA,Ficus cuatrecasana,,,,POINT (-79.3333 -0.5),[230.],0-500
21,QCA144076,133,Moraceae,Ficus,cuatrecasana,"La Conferencia y Sta. Cruz, Parro. Molleturo, Cantón Cuenca. Ubic. Camino de Sta. Cruz a la Conferencia.",-2.75,-79.3833,1990-01-11T00:00:00,L. Ortiz,1200.0,1500.0,1990.0,1990.0,1990.0,QCA,Ficus cuatrecasana,,,,POINT (-79.3833 -2.75),[1793.],1501-2000
22,QCA144079,1779,Moraceae,Ficus,cuatrecasana,"Carretera Chillanes San Pablo de Atenas, Guaranda. Colecciones entre Chillanes y San Pablo.",-1.9,-79.05,1987-02-27T00:00:00,V. Zak,2500.0,,1987.0,1985.0,1980.0,QCA,Ficus cuatrecasana,,,,POINT (-79.05 -1.9),[3008.],3000-3500
23,QCA180599,1,Moraceae,Ficus,cuatrecasana,Mindo. Reserva Las Tangaras.,-0.2,-78.65,2010-02-20T00:00:00,D. Zurita,1300.0,,2010.0,2010.0,2010.0,QCA,Ficus cuatrecasana,,,,POINT (-78.65 -0.2),[2974.],2500-3000
29,QCA226204,2010,Moraceae,Ficus,cuatrecasana,"Cantón Tulcán. Reserva Indígena Awá. Parroquia Tobar Donoso, sector El Baboso.  ",0.883333,-78.4167,1992-08-17T00:00:00,G. Tipaz,1800.0,,1992.0,1990.0,1990.0,QCA,Ficus cuatrecasana,,,,POINT (-78.4167 0.883333),[1056.],1001-1500
31,QCA234666,12928,Moraceae,Ficus,cuatrecasana,"Reserva Rio Bravo, Parcela 1, 60 x 60 m.",-0.082012692,-78.73535603,2015-08-15T00:00:00,G. Toasa,1640.0,,2015.0,2015.0,2010.0,QCA,Ficus cuatrecasana,,,,POINT (-78.73535603 -0.082012692),[1637.],1501-2000
34,QCA65449,4589,Moraceae,Ficus,cuatrecasana,San José de Payamino at Río Payamino 4-5 hours upstream from Coca in canoe.,-0.5,-77.3,1979-11-30T00:00:00,H. Balslev,300.0,,1979.0,1975.0,1970.0,QCA,Ficus cuatrecasana,,,,POINT (-77.3 -0.5),[321.],0-500
35,QCA65518,6898,Moraceae,Ficus,cuatrecasana,Santo Domingo de Los Colorados Tandapi Canton Sto. Domingo,-0.416667,-78.75,1989-06-16T00:00:00,C.E. Cerón,1650.0,,1989.0,1985.0,1980.0,QCA,Ficus cuatrecasana,,,,POINT (-78.75 -0.416667),[2109.],2001-2500
36,QCA65520,540,Moraceae,Ficus,cuatrecasana,"Recinto El Barro, predios de la compañía Eucapacific",0.607778,-79.9503,2002-08-17T00:00:00,A.J. Pérez,87.0,,2002.0,2000.0,2000.0,QCA,Ficus cuatrecasana,,,,POINT (-79.9503 0.607778),[54.],0-500
37,QCA65521,582,Moraceae,Ficus,cuatrecasana,"Recinto Tortuga, predios de la compañía Eucapacific",0.585556,-79.955,2002-09-01T00:00:00,A.J. Pérez,86.0,,2002.0,2000.0,2000.0,QCA,Ficus cuatrecasana,,,,POINT (-79.955 0.585556),[36.],0-500
38,QCA65522,221,Moraceae,Ficus,cuatrecasana,Ciano viejo,-3.9,-79.9667,2004-10-01T00:00:00,O.A. Sánchez,1615.0,,2004.0,2000.0,2000.0,QCA,Ficus cuatrecasana,,,,POINT (-79.9667 -3.9),[793.],501-1000
39,QCA65523,1952,Moraceae,Ficus,cuatrecasana,Tulcan El Baboso Parroquia Tobar Donoso. Reserva Indígena Awá,0.883333,-78.4167,1992-08-17T00:00:00,G. Tipaz,1800.0,,1992.0,1990.0,1990.0,QCA,Ficus cuatrecasana,,,,POINT (-78.4167 0.883333),[1056.],1001-1500
1,QCA140115,58,Myrsinaceae,Myrsine,coriacea,"Municipios Amalfi y Yolombo. Cañón del río Porce, área del proyecto hidroeléctrico Porce II.",6.76667,-74.9167,1996-02-19T00:00:00,C.M. Pérez,945.0,1050.0,1996.0,1995.0,1990.0,QCA,Myrsine coriacea,,,,POINT (-74.9167 6.76667),[1370.],1001-1500
3,QCA140119,7284,Myrsinaceae,Myrsine,coriacea,"Municipio Betania. Vereda La Traviesa, 3km N de Betania, en la vía Bolívar hacia Betanía.",5.78333,-76.1667,1989-03-02T00:00:00,R. Callejas,1600.0,,1989.0,1985.0,1980.0,QCA,Myrsine coriacea,,,,POINT (-76.1667 5.78333),[1197.],1001-1500
4,QCA140120,3399,Myrsinaceae,Myrsine,coriacea,"Cordillera de los Guacamayos, cruce del oleoducto de la compañía Arco, colecciones en el Mirador.",-0.633333,-77.85,1999-01-06T00:00:00,H. Vargas,2400.0,,1999.0,1995.0,1990.0,QCA,Myrsine coriacea,,,,POINT (-77.85 -0.633333),[2436.],2001-2500
5,QCA140122,90533,Myrsinaceae,Myrsine,coriacea,Summit of road Saraguro to Tenta.,-3.61667,-79.2667,1989-02-12T00:00:00,B. Øllgaard,2900.0,,1989.0,1985.0,1980.0,QCA,Myrsine coriacea,,,,POINT (-79.2667 -3.61667),[2858.],2500-3000
6,QCA140124,29119,Myrsinaceae,Myrsine,coriacea,Cerro Yausay E of Azogues.,-2.68333,-78.7833,1980-12-13T00:00:00,L.B. Holm-Nielsen,2900.0,,1980.0,1980.0,1980.0,QCA,Myrsine coriacea,,,,POINT (-78.7833 -2.68333),[3189.],3000-3500
7,QCA140126,23430,Myrsinaceae,Myrsine,coriacea,Pass on road Azogues to Tanday.,-2.58333,-78.65,1985-03-30T00:00:00,G. Harling,3100.0,,1985.0,1985.0,1980.0,QCA,Myrsine coriacea,,,,POINT (-78.65 -2.58333),[2724.],2500-3000
8,QCA140128,10237,Myrsinaceae,Myrsine,coriacea,"Cantón Cotacachi, Cuallaje in valley río Piñán, NW of Otavalo.",0.416667,-78.5,1993-04-24T00:00:00,D. Neill,2000.0,,1993.0,1990.0,1990.0,QCA,Myrsine coriacea,,,,POINT (-78.5 0.416667),[2317.],2001-2500
9,QCA140129,4007,Myrsinaceae,Myrsine,coriacea,"El Chaco, carretera Baeza hacia Lago Agrio, km 1.5 colina de las Palmas, ruta del nuevo oleoducto de crudos pesados.",-0.216667,-77.7333,1999-08-14T00:00:00,H. Vargas,1740.0,,1999.0,1995.0,1990.0,QCA,Myrsine coriacea,,,,POINT (-77.7333 -0.216667),[1695.],1501-2000
10,QCA140132,11129,Myrsinaceae,Myrsine,coriacea,2 to 6km NE of Pindilig towards Rivera.,-2.6,-78.8167,1985-01-19T00:00:00,J.L. Luteyn,3000.0,,1985.0,1985.0,1980.0,QCA,Myrsine coriacea,,,,POINT (-78.8167 -2.6),[3456.],3000-3500
11,QCA140133,9927,Myrsinaceae,Myrsine,coriacea,"Sector Sevilla de Oro, carretera Cuenca, Paute, Sevilla de Oro.",-2.8,-78.6167,1987-08-18T00:00:00,J. Jaramillo,2600.0,3020.0,1987.0,1985.0,1980.0,QCA,Myrsine coriacea,,,,POINT (-78.6167 -2.8),[3354.],3000-3500
12,QCA140135,10371,Myrsinaceae,Myrsine,coriacea,"Road Baeza to Tena, 8km from Baeza.",-0.516667,-77.8333,1976-10-27T00:00:00,H. Balslev,1900.0,2000.0,1976.0,1975.0,1970.0,QCA,Myrsine coriacea,,,,POINT (-77.8333 -0.516667),[2423.],2001-2500
13,QCA140137,128,Myrsinaceae,Myrsine,coriacea,"Reserva Ecológica río Guajalito, km 59 de la carretera antigua Quito hacia Santo Domingo, a 3.5km al NE de la carretera, estribaciones occidentales del volcán Pichincha.",-0.227222,-78.8194,1994-11-18T00:00:00,J. Mutke,1800.0,2000.0,1994.0,1990.0,1990.0,QCA,Myrsine coriacea,,,,POINT (-78.8194 -0.227222),[1815.],1501-2000
14,QCA140141,3349,Myrsinaceae,Myrsine,coriacea,"Cordillera de los Guacamayos, compañía Arco, colecciones entre río Vinillos y El Mirador.",-0.633333,-77.85,1999-01-03T00:00:00,H. Vargas,2280.0,,1999.0,1995.0,1990.0,QCA,Myrsine coriacea,,,,POINT (-77.85 -0.633333),[2436.],2001-2500
15,QCA140142,3338,Myrsinaceae,Myrsine,coriacea,"Quijos, cordillera de los Guacamayos, compañía Arco, colecciones entre río Vinillos y el Mirado.",-0.633333,-77.85,1999-01-03T00:00:00,H. Vargas,2280.0,,1999.0,1995.0,1990.0,QCA,Myrsine coriacea,,,,POINT (-77.85 -0.633333),[2436.],2001-2500
16,QCA140145,2699,Myrsinaceae,Myrsine,coriacea,"Vía Baños hacia Puyo, colecciones a lo largo del sendero que conduce al río Cristal.",-1.4,-78.25,2006-03-08T00:00:00,A.J. Pérez,1443.0,,2006.0,2005.0,2000.0,QCA,Myrsine coriacea,,,,POINT (-78.25 -1.4),[1629.],1501-2000
17,QCA140148,22806,Myrsinaceae,Myrsine,coriacea,"Departamento: Esteli. Fila la Estrachura, road to San Nicolás.",12.9667,-86.3167,1984-01-26T00:00:00,W.D. Stevens,1100.0,1200.0,1984.0,1980.0,1980.0,QCA,Myrsine coriacea,,,,POINT (-86.3167 12.9667),[949.],501-1000
18,QCA140150,14620,Myrsinaceae,Myrsine,coriacea,"Reserva Florística Ecológica río Guajalito, km 59 de la carretera antigua desde Quito hacia Santo Domingo, a 3.5km NE de la carretera, estribaciones occidentales del volcán Pichincha.",-0.231389,-78.8028,1992-02-08T00:00:00,J. Jaramillo,1800.0,2200.0,1992.0,1990.0,1990.0,QCA,Myrsine coriacea,,,,POINT (-78.8028 -0.231389),[2297.],2001-2500
19,QCA140154,13711,Myrsinaceae,Myrsine,coriacea,"Reserva Florística Ecológica, río Guajalito, km 59 de la carretera antigua desde Quito hacia Santo Domingo, a 3.5km al NE de la carretera, estribaciones occidentales del volcán Pichincha.",-0.231389,-78.8028,1991-08-20T00:00:00,J. Jaramillo,1800.0,2200.0,1991.0,1990.0,1990.0,QCA,Myrsine coriacea,,,,POINT (-78.8028 -0.231389),[2297.],2001-2500
20,QCA140156,6118,Myrsinaceae,Myrsine,coriacea,"Hacienda San Antonio de Baron von Humboldt, 2km al NE de Mera.",-1.45,-78.1,1985-02-27T00:00:00,D. Neill,1100.0,,1985.0,1985.0,1980.0,QCA,Myrsine coriacea,,,,POINT (-78.1 -1.45),[1135.],1001-1500
21,QCA140158,2178,Myrsinaceae,Myrsine,coriacea,"Río San Juan Grande, 9.5km NW of El Chaco.",-0.283333,-77.85,1996-03-12T00:00:00,B. Ståhl,1750.0,,1996.0,1995.0,1990.0,QCA,Myrsine coriacea,,,,POINT (-77.85 -0.283333),[1903.],1501-2000
22,QCA140161,3491,Myrsinaceae,Myrsine,coriacea,"Quijos, Cordillera de los Guacamayos, sector oriental, cruce del oleoducto de la compañía Arco, colecciones entre el Mirador y camino de la Virgen.",-0.633333,-77.85,1999-01-12T00:00:00,H. Vargas,2300.0,,1999.0,1995.0,1990.0,QCA,Myrsine coriacea,,,,POINT (-77.85 -0.633333),[2436.],2001-2500
23,QCA164361,30376,Myrsinaceae,Myrsine,coriacea,Puyo.,-1.5,-77.9833,1996-02-02T00:00:00,C.E. Cerón,900.0,,1996.0,1995.0,1990.0,QCA,Myrsine coriacea,,,,POINT (-77.9833 -1.5),[931.],501-1000
24,QCA211008,51,Myrsinaceae,Myrsine,coriacea,"Cantón Montúfar, Loma El Corazón (Bretaña), al sureste de Huaca, al este de la colonia Huaqueña. Río Minas.",0.583333,-77.7,1989-04-29T00:00:00,G. Tipaz,3200.0,3500.0,1989.0,1985.0,1980.0,QCA,Myrsine coriacea,,,,POINT (-77.7 0.583333),[3434.],3000-3500
25,QCA217420,5507,Myrsinaceae,Myrsine,coriacea,Reserva Sempreverde. Colecciones a lo largo del camino de ingreso a la reserva. ,0.3775,-78.4292,2012-07-06T00:00:00,A.J. Pérez,2100.0,2200.0,2012.0,2010.0,2010.0,QCA,Myrsine coriacea,,,,POINT (-78.4292 0.3775),[2438.],2001-2500
26,QCA217447,5906,Myrsinaceae,Myrsine,coriacea,Territorio de la Comunidad Shuar Washents. Alrededor del área destinada a la Plataforma Oglán 2.,-0.347222,-77.6717,2012-10-06T00:00:00,A.J. Pérez,750.0,900.0,2012.0,2010.0,2010.0,QCA,Myrsine coriacea,,,,POINT (-77.6717 -0.347222),[2243.],2001-2500
30,QCA221380,358,Myrsinaceae,Myrsine,coriacea,El Chivato. Finca del Sr. Vicente Medina. ,-3.84722,-79.0375,2006-11-09T00:00:00,A. Gerique,2000.0,,2006.0,2005.0,2000.0,QCA,Myrsine coriacea,,,,POINT (-79.0375 -3.84722),[1910.],1501-2000
31,QCA222114,359A,Myrsinaceae,Myrsine,coriacea,El Chivato. Finca del Sr. Vicente Medina.,-3.84722,-79.0375,2006-11-09T00:00:00,A. Gerique,2000.0,,2006.0,2005.0,2000.0,QCA,Myrsine coriacea,,,,POINT (-79.0375 -3.84722),[1910.],1501-2000
33,QCA226191,7277,Myrsinaceae,Myrsine,coriacea,Cantón Tulcán. Arriba de Maldonado. Frontera con Colombia. Sitio Chilmá. ,0.85,-78.0333,1991-05-20T00:00:00,W. Palacios,2000.0,,1991.0,1990.0,1990.0,QCA,Myrsine coriacea,,,,POINT (-78.0333 0.85),[2325.],2001-2500
34,QCA233583,297,Myrsinaceae,Myrsine,coriacea,Entrada por el sector del río Bombuscaro. Colecciones a lo largo del sendero Campesino. ,-4.1125,-78.9622,2015-03-27T00:00:00,N. Zapata,1000.0,1100.0,2015.0,2015.0,2010.0,QCA,Myrsine coriacea,,,,POINT (-78.9622 -4.1125),[1021.],1001-1500
35,QCA239758,11016,Myrsinaceae,Myrsine,coriacea,Charguayacu Alto. Reserva Los Yaltes. Colecciones desde la casa hacia arriba por el lindero y luego sendero a la loma y camino.,0.294166667,-78.69583333,2017-05-01T00:00:00,A. J.  Pérez,1550.0,1705.0,2017.0,2015.0,2010.0,QCA,Myrsine coriacea,,,,POINT (-78.69583333 0.294166667),[1689.],1501-2000
36,QCA241417,5895,Myrsinaceae,Myrsine,coriacea,"Parroquia San Pablo de Atenas. In and around the San José de las Palmas community forest, near km 33 on the Guaranda-Babahoyo highway.",-1.8,-79.0333,2012-10-23T00:00:00,T. McDowell,2967.0,,2012.0,2010.0,2010.0,QCA,Myrsine coriacea,,,,POINT (-79.0333 -1.8),[3139.],3000-3500
37,QCA241552,5921,Myrsinaceae,Myrsine,coriacea,Road Loja-Zamora.,-3.987307,-79.10412037,2017-04-03T00:00:00,J. Homeier,,,2017.0,2015.0,2010.0,QCA,Myrsine coriacea,,,,POINT (-79.10412037 -3.987307),[2436.],2001-2500
38,QCA246585,11397,Myrsinaceae,Myrsine,coriacea,Siempre Verde Cloud Forest Reserve.,0.3737,-78.4252,2016-08-30T00:00:00,R. Jones,2400.0,,2016.0,2015.0,2010.0,QCA,Myrsine coriacea,,,,POINT (-78.4252 0.3737),[2374.],2001-2500
39,QCA246754,11059,Myrsinaceae,Myrsine,coriacea,Siempre Verde Cloud Forest Reserve. By gazebo at lodge.,0.37168,-78.42168,2016-04-16T00:00:00,R. Jones,2468.0,,2016.0,2015.0,2010.0,QCA,Myrsine coriacea,,,,POINT (-78.42168 0.37168),[2447.],2001-2500
40,QCA67154,174,Myrsinaceae,Myrsine,coriacea,"Cantón Cotacachi. Parroquía Plaza Gutierrez. Caserio Tablachupa. Vía a Apuela, Noroeste de Cuicocha. Bosque húmedo montano. Bosque primario. Suelos de origen volcánico.",0.333333,-78.4333,1992-11-25T00:00:00,B. Cuamacás,2900.0,,1992.0,1990.0,1990.0,QCA,Myrsine coriacea,,,,POINT (-78.4333 0.333333),[2747.],2500-3000
41,QCA67155,91620,Myrsinaceae,Myrsine,coriacea,Jera 10 km north-east of Saraguro. ,-3.4,-79.2333,1989-03-02T00:00:00,L. Ellemann,2600.0,,1989.0,1985.0,1980.0,QCA,Myrsine coriacea,,,,POINT (-79.2333 -3.4),[2551.],2500-3000
42,QCA67156,23745C,Myrsinaceae,Myrsine,coriacea,"Reserva Otongachi, La unión del Toachi, km 3, vía Toachi-San Francisco de las Pampas.",-0.316667,-78.8333,2002-08-25T00:00:00,J. Jaramillo,950.0,1100.0,2002.0,2000.0,2000.0,QCA,Myrsine coriacea,,,,POINT (-78.8333 -0.316667),[1550.],1501-2000
43,QCA67157,51,Myrsinaceae,Myrsine,coriacea,"Montufar  Cantón Montúfar. Loma El Corazón (Bretaña), al sureste de Huaca, al este de la Colonia Huaqueña. Río Minas. Bosque primario; suelos volcánicos.",0.583333,-77.7,1989-04-29T00:00:00,G. Tipaz,3200.0,3500.0,1989.0,1985.0,1980.0,QCA,Myrsine coriacea,,,,POINT (-77.7 0.583333),[3434.],3000-3500
0,QCA132126,2276,Meliaceae,Guarea,kunthiana,"Va de acceso Chiruisla hacia ro Tiputini, colecciones en los alrededores del km 13+800.",-0.694722,-75.9233,2005-10-21T00:00:00,A.J. Prez,200.0,220.0,2005.0,2005.0,2000.0,QCA,Guarea kunthiana,,,,POINT (-75.9233 -0.694722),[226.],0-500
1,QCA132127,2064,Meliaceae,Guarea,kunthiana,"Va de acceso Chiruisla hacia ro Tiputini, colecciones en los alrededores del km 0+500.",-0.611944,-75.8789,2005-10-17T00:00:00,A.J. Prez,200.0,220.0,2005.0,2005.0,2000.0,QCA,Guarea kunthiana,,,,POINT (-75.8789 -0.611944),[206.],0-500
2,QCA132128,1147,Meliaceae,Guarea,kunthiana,"Va de acceso Chiruisla hacia ro Tiputini, colecciones en los alrededores del km 12+500; puente de dosel Huagrashi.",-0.6925,-75.9239,2005-08-04T00:00:00,A.J. Prez,200.0,220.0,2005.0,2005.0,2000.0,QCA,Guarea kunthiana,,,,POINT (-75.9239 -0.6925),[226.],0-500
3,QCA132129,23269,Meliaceae,Guarea,kunthiana,"Parcela de 1ha, ECY, km 8.2 de la carretera NPF hacia Tivacuno.",-0.680833,-76.3867,2002-03-01T00:00:00,J. Jaramillo,200.0,300.0,2002.0,2000.0,2000.0,QCA,Guarea kunthiana,,,,POINT (-76.3867 -0.680833),[250.],0-500
4,QCA132130,1963,Meliaceae,Guarea,kunthiana,"Va de acceso Chiruisla hacia ro Tiputini, colecciones en los alrededores del km 7+870, puente de dosel Samona.",-0.656389,-75.9075,2005-09-22T00:00:00,A.J. Prez,200.0,220.0,2005.0,2005.0,2000.0,QCA,Guarea kunthiana,,,,POINT (-75.9075 -0.656389),[223.],0-500
5,QCA132131,2086,Meliaceae,Guarea,kunthiana,"San Francisco de las Pampas, ro Esmeraldas, Reserva Otonga.",-0.416667,-78.95,1999-02-08T00:00:00,H. QCA,2000.0,,1999.0,1995.0,1990.0,QCA,Guarea kunthiana,,,,POINT (-78.95 -0.416667),[1432.],1001-1500
6,QCA132132,2087,Meliaceae,Guarea,kunthiana,"San Francisco de las Pampas, ro Esmeraldas, Reserva Otonga.",-0.416667,-78.95,1999-02-08T00:00:00,H. QCA,2000.0,,1999.0,1995.0,1990.0,QCA,Guarea kunthiana,,,,POINT (-78.95 -0.416667),[1432.],1001-1500
7,QCA132133,2088,Meliaceae,Guarea,kunthiana,"San Francisco de las Pampas, ro Esmeraldas, Reserva Otonga.",-0.416667,-78.95,1999-02-08T00:00:00,H. QCA,2000.0,,1999.0,1995.0,1990.0,QCA,Guarea kunthiana,,,,POINT (-78.95 -0.416667),[1432.],1001-1500
8,QCA132134,1,Meliaceae,Guarea,kunthiana,"Centro Cientfico Guajalito, km 59 de la carretera San Juan hacia Chiriboga.",-0.231389,-78.8028,1986-12-14T00:00:00,M. Ponce,1900.0,,1986.0,1985.0,1980.0,QCA,Guarea kunthiana,,,,POINT (-78.8028 -0.231389),[2297.],2001-2500
9,QCA132135,7505,Meliaceae,Guarea,kunthiana,"Reserva Florstica Ecolgica ro Guajalito, km 59 de la cerretera antigua Quito hacia Santo Domingo, a 3.5km al NE de la carretera, estribaciiones occidentales del volcn Pichincha.",-0.231389,-78.8028,1985-02-18T00:00:00,J. Jaramillo,1800.0,2200.0,1985.0,1985.0,1980.0,QCA,Guarea kunthiana,,,,POINT (-78.8028 -0.231389),[2297.],2001-2500
10,QCA132137,286,Meliaceae,Guarea,kunthiana,"Cantn Archidona, faldas al sur del volcn Sumaco, carretera de Holln hacia Loreto, km 50, comuna Huahua Sumaco.",-0.733333,-77.5667,1989-05-03T00:00:00,A. Alvarado,1100.0,,1989.0,1985.0,1980.0,QCA,Guarea kunthiana,,,,POINT (-77.5667 -0.733333),[1084.],1001-1500
11,QCA132138,2196,Meliaceae,Guarea,kunthiana,"Reserva Biolgica Jatun Sacha, 8km de Puerto Misahuall, amrgen derecho del ro Napo.",-1.06667,-77.6,1987-09-04T00:00:00,C.E. Cern,450.0,,1987.0,1985.0,1980.0,QCA,Guarea kunthiana,,,,POINT (-77.6 -1.06667),[404.],0-500
12,QCA132193,2176,Meliaceae,Guarea,kunthiana,"Va de acceso Chiruisla hacia ro Tiputini, colecciones en los alrededores del km 2+000.",-0.615833,-75.8894,2005-10-19T00:00:00,A.J. Prez,200.0,220.0,2005.0,2005.0,2000.0,QCA,Guarea kunthiana,,,,POINT (-75.8894 -0.615833),[223.],0-500
13,QCA132194,946,Meliaceae,Guarea,kunthiana,"Ro Tiputini, al noroeste de la confluencia con el ro Tivacuno, este de la carretera Repsol hacia YPF, km 7 desvo hacia el pozo Tivacuno.",-0.633333,-76.5,2001-03-21T00:00:00,G. Villa,200.0,300.0,2001.0,2000.0,2000.0,QCA,Guarea kunthiana,,,,POINT (-76.5 -0.633333),[243.],0-500
14,QCA132195,2299,Meliaceae,Guarea,kunthiana,"Ro Indillama, entre la desembocadura del ro Napo y el cruce de la carretera de Maxus en conctruccin.",-0.416667,-76.6167,1993-02-21T00:00:00,E. Gudio,250.0,,1993.0,1990.0,1990.0,QCA,Guarea kunthiana,,,,POINT (-76.6167 -0.416667),[244.],0-500
